"Region","term","Risk_Type","lag_max","max_future","corr_past","diff_future_corrpast"
"Global","Risk_Score","Geophysical",1,-0.0113208831984469,-0.0248368870459656,0.0135160038475188
"Global","Risk_Score","Climate",2,0.0942176887806206,-0.213554839485477,0.307772528266098
"Global","Risk_Score","Diseases",5,0.776001670439424,0.626181681433544,0.14981998900588
"Global","Risk_Score","Food",1,-0.442231533795843,-0.850151960017203,0.40792042622136
"Global","Risk_Score","Economic",1,-0.122919272427533,0.238632370681282,-0.361551643108815
"Global","Risk_Score","GeoConflict",4,0.977575989747955,-0.268546190609858,1.24612218035781
"Global","Risk_Score","Terror",1,0.902054551006357,0.921420488429631,-0.0193659374232739
"Global","Risk_Score","Tech",3,-0.387478326107866,-0.446313381633294,0.058835055525428
"HIC","Risk_Score","Geophysical",1,0.205107109235245,0.284989576387915,-0.0798824671526701
"HIC","Risk_Score","Climate",2,0.377698209632387,-0.158893663661117,0.536591873293504
"HIC","Risk_Score","Diseases",5,1.21181365910552,0.409017167075598,0.802796492029922
"HIC","Risk_Score","Food",5,-0.0744184346502404,-0.0698121530668685,-0.00460628158337192
"HIC","Risk_Score","Economic",1,0.345012097481512,1.01609975695954,-0.671087659478028
"HIC","Risk_Score","GeoConflict",4,1.07660573790046,-0.482324975897571,1.55893071379803
"HIC","Risk_Score","Terror",2,1.12507963761017,0.926205518421143,0.198874119189027
"HIC","Risk_Score","Tech",1,-0.288129799943132,-0.322785206918442,0.0346554069753096
"UMC","Risk_Score","Geophysical",3,-0.0999705008858497,-0.294698616831557,0.194728115945707
"UMC","Risk_Score","Climate",2,0.290106428225295,-0.00944774808377178,0.299554176309067
"UMC","Risk_Score","Diseases",5,0.904745354078066,0.398167754686279,0.506577599391788
"UMC","Risk_Score","Food",2,-0.258610074591557,-0.93192010004833,0.673310025456774
"UMC","Risk_Score","Economic",5,-0.093005411211287,0.0687137743999663,-0.161719185611253
"UMC","Risk_Score","GeoConflict",4,0.794750625172385,-0.279696403212253,1.07444702838464
"UMC","Risk_Score","Terror",1,0.74740577718714,0.858590281330735,-0.111184504143595
"UMC","Risk_Score","Tech",3,-0.385724430288136,-0.443552037117276,0.0578276068291394
"LMC","Risk_Score","Geophysical",1,0.39728382430032,0.395980231583096,0.00130359271722402
"LMC","Risk_Score","Climate",3,-0.257521341847522,-0.137962255496507,-0.119559086351015
"LMC","Risk_Score","Diseases",5,0.72823291628818,0.52350232934437,0.20473058694381
"LMC","Risk_Score","Food",4,-0.213712084448452,-0.141628932459094,-0.072083151989358
"LMC","Risk_Score","Economic",5,-0.170587173611566,0.160303180497487,-0.330890354109053
"LMC","Risk_Score","GeoConflict",4,0.862119817949296,-0.373446864631418,1.23556668258071
"LMC","Risk_Score","Terror",1,0.892021225183101,0.899356701613723,-0.0073354764306216
"LMC","Risk_Score","Tech",4,-0.307016851590673,-0.48451370936633,0.177496857775657
"LIC","Risk_Score","Geophysical",3,-0.214973107189556,-0.39593479590133,0.180961688711774
"LIC","Risk_Score","Climate",2,-0.143635245879889,-0.504617617624916,0.360982371745027
"LIC","Risk_Score","Diseases",5,0.88334529391676,0.275118419268464,0.608226874648296
"LIC","Risk_Score","Food",1,2.20319437741877,0.913786898426713,1.28940747899206
"LIC","Risk_Score","Economic",5,-0.179432303557306,0.133949680092696,-0.313381983650002
"LIC","Risk_Score","GeoConflict",4,0.881979966974058,-0.163496175827689,1.04547614280175
"LIC","Risk_Score","Terror",2,1.01689579269719,0.940825297441619,0.0760704952555687
"LIC","Risk_Score","Tech",3,-0.352341458385024,-0.468958491796102,0.116617033411079
