"Risk_Type","display_risk","Region","max_future","diff_future_corrpast"
"Climate","Climate","HIC",0.377698209632387,0.536591873293504
"Diseases","Diseases","HIC",1.21181365910552,0.802796492029922
"GeoConflict","Conflicts","HIC",1.07660573790046,1.55893071379803
"Terror","Terrorism","HIC",1.12507963761017,0.198874119189027
"Climate","Climate","UMC",0.290106428225295,0.299554176309067
"Diseases","Diseases","UMC",0.904745354078066,0.506577599391788
"GeoConflict","Conflicts","UMC",0.794750625172385,1.07444702838464
"Terror","Terrorism","UMC",0.74740577718714,-0.111184504143595
"Climate","Climate","LMC",-0.257521341847522,-0.119559086351015
"Diseases","Diseases","LMC",0.72823291628818,0.20473058694381
"GeoConflict","Conflicts","LMC",0.862119817949296,1.23556668258071
"Terror","Terrorism","LMC",0.892021225183101,-0.0073354764306216
"Climate","Climate","LIC",-0.143635245879889,0.360982371745027
"Diseases","Diseases","LIC",0.88334529391676,0.608226874648296
"GeoConflict","Conflicts","LIC",0.881979966974058,1.04547614280175
"Terror","Terrorism","LIC",1.01689579269719,0.0760704952555687
