"Region","Risk_Type","lag_max","max_future","max_future_lwr","max_future_upr","corr_past","diff_future_corrpast","diff_future_corrpast_lwr","diff_future_corrpast_upr"
"Global","Geophysical",1,-0.0113208831984469,-0.0515891199455304,0.191382953434492,-0.0248368870459656,0.0135160038475188,-0.0723565064676735,0.289791279422476
"Global","Climate",2,0.0942176887806206,-0.0396617585805354,0.370986744293323,-0.213554839485477,0.307772528266098,0.0552327556138744,0.794136913678653
"Global","Diseases",5,0.776001670439424,0.552147830338496,2.18416927685985,0.626181681433544,0.14981998900588,-0.52855807942727,1.72224724152588
"Global","Food",1,-0.442231533795843,-0.78681004018808,0.966075360898119,-0.850151960017203,0.40792042622136,-0.87830650093456,2.39068354436433
"Global","Economic",1,-0.122919272427533,-0.257942385347865,0.717343194368785,0.238632370681282,-0.361551643108815,-0.808197478472051,0.891494991624644
"Global","GeoConflict",4,0.977575989747955,0.599311125156804,2.08140395195936,-0.268546190609858,1.24612218035781,0.0300299401770661,3.07941740739512
"Global","Terror",1,0.902054551006357,0.670463056014508,1.64495538616634,0.921420488429631,-0.0193659374232739,-0.686155279864849,1.02924282294906
"Global","Tech",3,-0.387478326107866,-0.41296492498161,0.277730008922175,-0.446313381633294,0.058835055525428,-0.37284918727612,1.05131669530281
"HIC","Geophysical",1,0.205107109235245,0.091168330477426,0.533925787244289,0.284989576387915,-0.0798824671526701,-0.271837578082926,0.361297712537402
"HIC","Climate",2,0.377698209632387,0.204039539458078,0.684980897676413,-0.158893663661117,0.536591873293504,0.222013879468585,0.974322101164481
"HIC","Diseases",5,1.21181365910552,0.954778010246867,2.51904962472127,0.409017167075598,0.802796492029922,-0.063504588861689,2.15146505658947
"HIC","Food",5,-0.0744184346502404,-0.322235316140249,0.80420364153231,-0.0698121530668685,-0.00460628158337192,-0.673104892971912,1.67758890702408
"HIC","Economic",1,0.345012097481512,-0.0937617705977707,1.37285005860986,1.01609975695954,-0.671087659478028,-1.43446609587159,0.727822408803782
"HIC","GeoConflict",4,1.07660573790046,0.728839769904368,1.85563445729918,-0.482324975897571,1.55893071379803,0.617232978550959,2.90571104678284
"HIC","Terror",2,1.12507963761017,0.877945163784639,1.80162266055522,0.926205518421143,0.198874119189027,-0.463888243059337,1.41664428645578
"HIC","Tech",1,-0.288129799943132,-0.433432726705821,0.560590773418769,-0.322785206918442,0.0346554069753096,-0.577803240438615,1.14274622059196
"UMC","Geophysical",3,-0.0999705008858497,-0.158466847156982,0.177064176105159,-0.294698616831557,0.194728115945707,0.00377333427222254,0.505569249362941
"UMC","Climate",2,0.290106428225295,0.144786289740339,0.718668936917668,-0.00944774808377178,0.299554176309067,0.0197018715881173,0.872593556832496
"UMC","Diseases",5,0.904745354078066,0.585352454160711,2.25003728022371,0.398167754686279,0.506577599391788,-0.317807385377744,1.90473426989873
"UMC","Food",2,-0.258610074591557,-0.476912536045813,0.994878825781018,-0.93192010004833,0.673310025456774,-0.0958659551603103,2.47742327593479
"UMC","Economic",5,-0.093005411211287,-0.186039286609426,0.513279772490849,0.0687137743999663,-0.161719185611253,-0.373885041631143,0.992007691825412
"UMC","GeoConflict",4,0.794750625172385,0.450400478598432,1.76378029075557,-0.279696403212253,1.07444702838464,0.00671937394095055,2.70114916151295
"UMC","Terror",1,0.74740577718714,0.42570392729088,1.59309763770223,0.858590281330735,-0.111184504143595,-0.82725614617731,1.03081699919234
"UMC","Tech",3,-0.385724430288136,-0.419311061850898,0.259518126995262,-0.443552037117276,0.0578276068291394,-0.396759108756495,1.05785641252208
"LMC","Geophysical",1,0.39728382430032,0.328570323290111,0.650463559047739,0.395980231583096,0.00130359271722402,-0.16431990208129,0.463259697696896
"LMC","Climate",3,-0.257521341847522,-0.325080675539188,0.0706360991633521,-0.137962255496507,-0.119559086351015,-0.414779953577455,0.596077426310596
"LMC","Diseases",5,0.72823291628818,0.468443624786995,2.14156969901065,0.52350232934437,0.20473058694381,-0.501910937171311,1.71413500111436
"LMC","Food",4,-0.213712084448452,-0.372389747500522,0.409835617208687,-0.141628932459094,-0.072083151989358,-0.73735105405709,0.820940824040999
"LMC","Economic",5,-0.170587173611566,-0.251958008892048,0.485779428674457,0.160303180497487,-0.330890354109053,-0.507487890460164,0.911595759375283
"LMC","GeoConflict",4,0.862119817949296,0.478201641278871,2.22207782268891,-0.373446864631418,1.23556668258071,-0.0284245408177757,3.42361216141045
"LMC","Terror",1,0.892021225183101,0.571472451135427,1.62317871606163,0.899356701613723,-0.0073354764306216,-0.770473795317248,1.04023450910182
"LMC","Tech",4,-0.307016851590673,-0.363696634774403,0.196716690295941,-0.48451370936633,0.177496857775657,-0.395804899990435,1.11447619914418
"LIC","Geophysical",3,-0.214973107189556,-0.250739863792483,0.0741444175155117,-0.39593479590133,0.180961688711774,0.0337655881181129,0.503089625914607
"LIC","Climate",2,-0.143635245879889,-0.256744149714107,0.326888832583424,-0.504617617624916,0.360982371745027,-0.1269523524838,1.03950862514084
"LIC","Diseases",5,0.88334529391676,0.590713288413066,2.36279661572125,0.275118419268464,0.608226874648296,-0.272263504592739,2.22956775630099
"LIC","Food",1,2.20319437741877,1.78319792552972,3.60094061685177,0.913786898426713,1.28940747899206,-0.583458685695929,3.63641437325814
"LIC","Economic",5,-0.179432303557306,-0.255146264201987,0.451081740584855,0.133949680092696,-0.313381983650002,-0.466271208928249,1.12250157045544
"LIC","GeoConflict",4,0.881979966974058,0.510341934195507,2.08165291752145,-0.163496175827689,1.04547614280175,-0.247070351618736,3.13526442800186
"LIC","Terror",2,1.01689579269719,0.836897252270598,1.7083459144272,0.940825297441619,0.0760704952555687,-0.518299794868271,1.25816542069565
"LIC","Tech",3,-0.352341458385024,-0.407298055891448,0.46482492162167,-0.468958491796102,0.116617033411079,-0.290524813451713,1.34227742174868
